# Blog List - 博客列表
# Format: title | slug | path | status | date | tags
# Status: pending (未开始) | in_progress (进行中) | completed (已完成)

【生活杂记】用电饭锅来煮米汤 | 生活杂记用电饭锅来煮米汤 | blogs_raw/生活杂记用电饭锅来煮米汤.md | pending |  | 生活,情感,怀念,生成模型,attention
对齐全量微调！这是我看过最精彩的LoRA改进（一） | 对齐全量微调这是我看过最精彩的lora改进一 | blogs_raw/对齐全量微调这是我看过最精彩的lora改进一.md | pending |  | 梯度,优化器,低秩,lora,生成模型
“闭门造车”之多模态思路浅谈（二）：自回归 | 闭门造车之多模态思路浅谈二自回归 | blogs_raw/闭门造车之多模态思路浅谈二自回归.md | pending |  | 生成模型,扩散,多模态,自回归,生成模型
重温SSM（四）：有理生成函数的新视角 | 重温ssm四有理生成函数的新视角 | blogs_raw/重温ssm四有理生成函数的新视角.md | pending |  | 生成函数,线性,RNN,ssm,生成模型
重温SSM（三）：HiPPO的高效计算（S4） | 重温ssm三hippo的高效计算s4 | blogs_raw/重温ssm三hippo的高效计算s4.md | pending |  | 矩阵,线性,RNN,ssm,生成模型
通向概率分布之路：盘点Softmax及其替代品 | 通向概率分布之路盘点softmax及其替代品 | blogs_raw/通向概率分布之路盘点softmax及其替代品.md | pending |  | 概率,分析,损失函数,梯度,生成模型
重温SSM（二）：HiPPO的一些遗留问题 | 重温ssm二hippo的一些遗留问题 | blogs_raw/重温ssm二hippo的一些遗留问题.md | pending |  | 线性,差分,RNN,梯度,ssm
Transformer升级之路：18、RoPE的底数选择原则 | transformer升级之路18rope的底数选择原则 | blogs_raw/transformer升级之路18rope的底数选择原则.md | pending |  | 不等式,attention,位置编码,rope,生成模型
重温SSM（一）：线性系统和HiPPO矩阵 | 重温ssm一线性系统和hippo矩阵 | blogs_raw/重温ssm一线性系统和hippo矩阵.md | pending |  | 微分方程,线性,RNN,ssm,生成模型
缓存与效果的极限拉扯：从MHA、MQA、GQA到MLA | 缓存与效果的极限拉扯从mhamqagqa到mla | blogs_raw/缓存与效果的极限拉扯从mhamqagqa到mla.md | pending |  | 优化,语言模型,生成模型,attention,生成模型
Cool Papers更新：简单搭建了一个站内检索系统 | cool-papers更新简单搭建了一个站内检索系统 | blogs_raw/cool-papers更新简单搭建了一个站内检索系统.md | pending |  | 网站,论文,酷论文,生成模型,attention
生成扩散模型漫谈（二十五）：基于恒等式的蒸馏（上） | 生成扩散模型漫谈二十五基于恒等式的蒸馏上 | blogs_raw/生成扩散模型漫谈二十五基于恒等式的蒸馏上.md | pending |  | 生成模型,梯度,扩散,去噪,生成模型
生成扩散模型漫谈（二十四）：少走捷径，更快到达 | 生成扩散模型漫谈二十四少走捷径更快到达 | blogs_raw/生成扩散模型漫谈二十四少走捷径更快到达.md | pending |  | 微分方程,生成模型,扩散,生成模型,attention
生成扩散模型漫谈（二十三）：信噪比与大图生成（下） | 生成扩散模型漫谈二十三信噪比与大图生成下 | blogs_raw/生成扩散模型漫谈二十三信噪比与大图生成下.md | pending |  | 无监督,生成模型,扩散,信噪比,生成模型
生成扩散模型漫谈（二十二）：信噪比与大图生成（上） | 生成扩散模型漫谈二十二信噪比与大图生成上 | blogs_raw/生成扩散模型漫谈二十二信噪比与大图生成上.md | pending |  | 损失函数,生成模型,扩散,信噪比,生成模型
Transformer升级之路：17、多模态位置编码的简单思考 | transformer升级之路17多模态位置编码的简单思考 | blogs_raw/transformer升级之路17多模态位置编码的简单思考.md | pending |  | attention,位置编码,rope,多模态,生成模型
时空之章：将Attention视为平方复杂度的RNN | 时空之章将attention视为平方复杂度的rnn | blogs_raw/时空之章将attention视为平方复杂度的rnn.md | pending |  | 语言模型,RNN,attention,复杂度,生成模型
用傅里叶级数拟合一维概率密度函数 | 用傅里叶级数拟合一维概率密度函数 | blogs_raw/用傅里叶级数拟合一维概率密度函数.md | pending |  | 级数,概率,分析,逼近,生成模型
配置不同的学习率，LoRA还能再涨一点？ | 配置不同的学习率lora还能再涨一点 | blogs_raw/配置不同的学习率lora还能再涨一点.md | pending |  | 梯度,优化器,低秩,lora,生成模型
“闭门造车”之多模态思路浅谈（一）：无损输入 | 闭门造车之多模态思路浅谈一无损输入 | blogs_raw/闭门造车之多模态思路浅谈一无损输入.md | pending |  | VAE,GAN,Flow,Diffusion,生成模型
更便捷的Cool Papers打开方式：Chrome重定向扩展 | 更便捷的cool-papers打开方式chrome重定向扩展 | blogs_raw/更便捷的cool-papers打开方式chrome重定向扩展.md | pending |  | 网站,论文,酷论文,生成模型,attention
幂等生成网络IGN：试图将判别和生成合二为一的GAN | 幂等生成网络ign试图将判别和生成合二为一的gan | blogs_raw/幂等生成网络ign试图将判别和生成合二为一的gan.md | pending |  | GAN,GAN,生成模型,对抗,生成模型
Transformer升级之路：16、“复盘”长度外推技术 | transformer升级之路16复盘长度外推技术 | blogs_raw/transformer升级之路16复盘长度外推技术.md | pending |  | attention,位置编码,泛化,外推,rope
旁门左道之如何让Python的重试代码更加优雅 | 旁门左道之如何让python的重试代码更加优雅 | blogs_raw/旁门左道之如何让python的重试代码更加优雅.md | pending |  | 编程,代码,python,优化,生成模型
局部余弦相似度大，全局余弦相似度一定也大吗？ | 局部余弦相似度大全局余弦相似度一定也大吗 | blogs_raw/局部余弦相似度大全局余弦相似度一定也大吗.md | pending |  | 不等式,相似度,悖论,生成模型,attention
新年快乐！记录一下 Cool Papers 的开发体验 | 新年快乐记录一下-cool-papers-的开发体验 | blogs_raw/新年快乐记录一下-cool-papers-的开发体验.md | pending |  | 网站,论文,酷论文,生成模型,attention
写了个刷论文的辅助网站：Cool Papers | 写了个刷论文的辅助网站cool-papers | blogs_raw/写了个刷论文的辅助网站cool-papers.md | pending |  | 网站,论文,酷论文,生成模型,attention
让炼丹更科学一些（一）：SGD的平均损失收敛 | 让炼丹更科学一些一sgd的平均损失收敛 | blogs_raw/让炼丹更科学一些一sgd的平均损失收敛.md | pending |  | 优化器,不等式,优化器,sgd,炼丹
注意力机制真的可以“集中注意力”吗？ | 注意力机制真的可以集中注意力吗 | blogs_raw/注意力机制真的可以集中注意力吗.md | pending |  | 熵,稀疏,attention,秩,生成模型
生成扩散模型漫谈（二十一）：中值定理加速ODE采样 | 生成扩散模型漫谈二十一中值定理加速ode采样 | blogs_raw/生成扩散模型漫谈二十一中值定理加速ode采样.md | pending |  | 微分方程,生成模型,扩散,生成模型,attention
我在Performer中发现了Transformer-VQ的踪迹 | 我在performer中发现了transformer-vq的踪迹 | blogs_raw/我在performer中发现了transformer-vq的踪迹.md | pending |  | 量子化,语言模型,attention,生成模型,attention
Transformer升级之路：15、Key归一化助力长度外推 | transformer升级之路15key归一化助力长度外推 | blogs_raw/transformer升级之路15key归一化助力长度外推.md | pending |  | attention,位置编码,泛化,外推,生成模型
【生活杂记】炒锅的尽头是铁锅 | 生活杂记炒锅的尽头是铁锅 | blogs_raw/生活杂记炒锅的尽头是铁锅.md | pending |  | 生活,厨房,美食,生成模型,attention
VQ一下Key，Transformer的复杂度就变成线性了 | vq一下keytransformer的复杂度就变成线性了 | blogs_raw/vq一下keytransformer的复杂度就变成线性了.md | pending |  | 量子化,编码,梯度,attention,生成模型
简单得令人尴尬的FSQ：“四舍五入”超越了VQ-VAE | 简单得令人尴尬的fsq四舍五入超越了vq-vae | blogs_raw/简单得令人尴尬的fsq四舍五入超越了vq-vae.md | pending |  | 生成模型,编码,梯度,离散化,生成模型
从梯度最大化看Attention的Scale操作 | 从梯度最大化看attention的scale操作 | blogs_raw/从梯度最大化看attention的scale操作.md | pending |  | 优化,梯度,attention,生成模型,attention
随机分词再探：从Viterbi Sampling到完美采样算法 | 随机分词再探从viterbi-sampling到完美采样算法 | blogs_raw/随机分词再探从viterbi-sampling到完美采样算法.md | pending |  | 概率,随机,优化,分词,采样
EMO：基于最优传输思想设计的分类损失函数 | emo基于最优传输思想设计的分类损失函数 | blogs_raw/emo基于最优传输思想设计的分类损失函数.md | pending |  | 概率,优化,损失函数,最优传输,生成模型
预训练一下，Transformer的长序列成绩还能涨不少！ | 预训练一下transformer的长序列成绩还能涨不少 | blogs_raw/预训练一下transformer的长序列成绩还能涨不少.md | pending |  | 语言模型,attention,生成模型,attention,优化
脑洞大开：非线性RNN居然也可以并行计算？ | 脑洞大开非线性rnn居然也可以并行计算 | blogs_raw/脑洞大开非线性rnn居然也可以并行计算.md | pending |  | 摄动,方程,迭代,语言模型,RNN
自然数集中 N = ab + c 时 a + b + c 的最小值 | 自然数集中-n-ab-c-时-a-b-c-的最小值 | blogs_raw/自然数集中-n-ab-c-时-a-b-c-的最小值.md | pending |  | 最优,问题,生成模型,attention,优化
随机分词浅探：从Viterbi Decoding到Viterbi Sampling | 随机分词浅探从viterbi-decoding到viterbi-sampling | blogs_raw/随机分词浅探从viterbi-decoding到viterbi-sampling.md | pending |  | 概率,随机,分词,新词发现,生成模型
大词表语言模型在续写任务上的一个问题及对策 | 大词表语言模型在续写任务上的一个问题及对策 | blogs_raw/大词表语言模型在续写任务上的一个问题及对策.md | pending |  | 概率,问题,语言模型,生成模型,attention
BytePiece：更纯粹、更高压缩率的Tokenizer | bytepiece更纯粹更高压缩率的tokenizer | blogs_raw/bytepiece更纯粹更高压缩率的tokenizer.md | pending |  | 最小熵,分词,无监督,新词发现,生成模型
Lion/Tiger优化器训练下的Embedding异常和对策 | liontiger优化器训练下的embedding异常和对策 | blogs_raw/liontiger优化器训练下的embedding异常和对策.md | pending |  | 问题,梯度,优化器,生成模型,attention
Transformer升级之路：14、当HWFA遇见ReRoPE | transformer升级之路14当hwfa遇见rerope | blogs_raw/transformer升级之路14当hwfa遇见rerope.md | pending |  | attention,位置编码,外推,rope,生成模型
Transformer升级之路：13、逆用Leaky ReRoPE | transformer升级之路13逆用leaky-rerope | blogs_raw/transformer升级之路13逆用leaky-rerope.md | pending |  | attention,位置编码,泛化,外推,rope
Transformer升级之路：12、无限外推的ReRoPE？ | transformer升级之路12无限外推的rerope | blogs_raw/transformer升级之路12无限外推的rerope.md | pending |  | attention,位置编码,泛化,外推,rope
Transformer升级之路：11、将β进制位置进行到底 | transformer升级之路11将β进制位置进行到底 | blogs_raw/transformer升级之路11将β进制位置进行到底.md | pending |  | attention,位置编码,泛化,外推,rope
